"author_id","conversation_id","created_at","hashtag","lang","like_count","mention","quote_count","referenced_status_id","referenced_user_id","reply_count","retweet_count","row_id","status_id","text","type"
"30973","1607686320431808513","2022-12-27T15:43:16.000Z",NA,"en",10,NA,10962,"1607686320431808513","1083698722868023296",11,0,1,"1607764056123015171","@kuronesa Hello, I am so sorry we missed your special day, I can imagine your disappointment. I'd like the pleasure to see how I can help. Can you please send me a DM with the email address linked to your Starbucks Rewards account? -Kristine","replied_to"
"30973","1596976719487197184","2022-11-29T05:23:55.000Z",NA,"en",9,"Mo_shakur",0,"1596976719487197184","2593863438",9,0,2,"1597461329664946176","@Mo_shakur We may be biased, but the Pumpkin Loaf is delicious.","replied_to"
"30973","1594801374298083329","2022-11-28T20:14:09.000Z",NA,"en",2,"MixxedBreeed_",0,"1594883245228826625","356550937",9,1,3,"1597322976969764864","@MixxedBreeed_ If you do, let us know what you think!","replied_to"
"30973","1596855284382990338","2022-11-28T12:51:28.000Z",NA,"en",0,"BihhKatie,StarbucksCare",0,"1597048237109960704","1027718407892946945",2,0,4,"1597211573847994368","@BihhKatie Thank you for reaching out. We will advise the @StarbucksCare Team that you require assistance.","replied_to"
"30973","1596855284382990338","2022-11-27T15:14:26.000Z",NA,"en",0,"BihhKatie",0,"1596855284382990338","1027718407892946945",1,0,5,"1596885165124784128","@BihhKatie We love birthdays! Join Starbucks Rewards at least 7 days before your birthday &amp; make at least 1 purchase with the app. Your Birthday Reward will arrive on your birthday, but we’ll send you an email reminding you beforehand. https://t.co/3ktu64ZA4c","replied_to"
"30973","1595816843092324352","2022-11-24T17:47:24.000Z",NA,"en",1,"therealstacyduh",0,"1595816843092324352","1281928302496813056",1,0,6,"1595836497663401985","@therealstacyduh Hi, Stacy! We recommend contacting your local Starbucks for hours of operation.","replied_to"
"30973","1595822911167889411","2022-11-24T17:46:18.000Z",NA,"en",0,"DevAlexiiis",0,"1595822911167889411","926094259865956353",0,0,7,"1595836218876760065","@DevAlexiiis Hi there! We recommend contacting your local Starbucks for hours of operation.","replied_to"
"30973","1595151223824715777","2022-11-22T21:13:37.000Z",NA,"en",1,NA,0,"1595151223824715777","64850219",2,0,8,"1595163615723520000","@QueenAllure1 Delicious idea! 😋","replied_to"
"30973","1595057091428900865","2022-11-22T15:40:26.000Z",NA,"en",1,"alexizzy_",0,"1595057091428900865","29838714",1,1,9,"1595079766776107009","@alexizzy_ It's impossibly delicious!","replied_to"
"30973","1594876247259205668","2022-11-22T15:31:21.000Z",NA,"en",0,NA,0,"1594876247259205668","1540144881426784257",0,1,10,"1595077482717536261","@hhaanimm You can order this handcrafted hot tea beverage by its official name in stores or via the mobile app: Honey Citrus Mint Tea! https://t.co/l0hs5snVgQ","replied_to"
